timestamp,type,killerId,killerTeam,x,y,killType
190535,CHAMPION_KILL,8,Red,7032,6625,3_KILL
190535,CHAMPION_SPECIAL_KILL,8,Red,7220,6902,KILL_FIRST_BLOOD
228726,CHAMPION_KILL,2,Blue,10672,5096,9_KILL
349473,CHAMPION_KILL,4,Blue,12576,2841,9_KILL
350067,TURRET_PLATE_DESTROYED,0,Blue,8955,8510,TURRET_PLATE
393104,CHAMPION_KILL,7,Red,10422,4927,5_KILL
397927,CHAMPION_KILL,2,Blue,10556,4869,7_KILL
400966,CHAMPION_KILL,10,Red,11169,5122,2_KILL
449300,TURRET_PLATE_DESTROYED,6,Red,981,10441,TURRET_PLATE
473485,TURRET_PLATE_DESTROYED,0,Blue,13866,4505,TURRET_PLATE
499746,CHAMPION_KILL,8,Red,6548,8334,3_KILL
504073,CHAMPION_KILL,2,Blue,6614,8388,8_KILL
507412,TURRET_PLATE_DESTROYED,10,Red,10504,1029,TURRET_PLATE
533514,CHAMPION_KILL,6,Red,1201,10797,1_KILL
560486,TURRET_PLATE_DESTROYED,0,Red,981,10441,TURRET_PLATE
567687,ELITE_MONSTER_KILL,2,Blue,10078,4621,DRAGON
571023,CHAMPION_KILL,4,Blue,14043,4655,10_KILL
572410,CHAMPION_KILL,10,Red,12704,5178,5_KILL
580471,ELITE_MONSTER_KILL,7,Red,4568,10071,RIFTHERALD
592732,CHAMPION_KILL,8,Red,6873,6190,3_KILL
593657,TURRET_PLATE_DESTROYED,0,Blue,13866,4505,TURRET_PLATE
596598,TURRET_PLATE_DESTROYED,8,Red,5846,6396,TURRET_PLATE
603702,TURRET_PLATE_DESTROYED,7,Red,5846,6396,TURRET_PLATE
603702,TURRET_PLATE_DESTROYED,7,Red,5846,6396,TURRET_PLATE
611302,CHAMPION_KILL,1,Blue,8197,6918,8_KILL
691844,TURRET_PLATE_DESTROYED,10,Red,981,10441,TURRET_PLATE
720087,CHAMPION_KILL,6,Red,13053,4983,4_KILL
725736,CHAMPION_KILL,5,Blue,13385,4313,6_KILL
819781,CHAMPION_KILL,8,Red,11441,4208,5_KILL
820892,CHAMPION_KILL,8,Red,11196,4101,4_KILL
820892,CHAMPION_SPECIAL_KILL,8,Red,11279,4085,KILL_MULTI
838003,TURRET_PLATE_DESTROYED,10,Red,10504,1029,TURRET_PLATE
846756,BUILDING_KILL,10,Red,10504,1029,TOWER_BUILDING
861126,BUILDING_KILL,6,Red,981,10441,TOWER_BUILDING
873713,CHAMPION_KILL,8,Red,7151,7312,3_KILL
875232,CHAMPION_KILL,4,Blue,7424,6778,8_KILL
897498,ELITE_MONSTER_KILL,2,Blue,9866,4414,DRAGON
973776,ELITE_MONSTER_KILL,2,Blue,4981,9381,RIFTHERALD
977750,CHAMPION_KILL,1,Blue,4338,9390,7_KILL
977750,CHAMPION_KILL,6,Red,4786,10165,2_KILL
983167,CHAMPION_KILL,2,Blue,4023,9598,6_KILL
983167,CHAMPION_KILL,2,Blue,6622,9151,9_KILL
983167,CHAMPION_SPECIAL_KILL,2,Blue,4786,10165,KILL_MULTI
999981,BUILDING_KILL,4,Blue,8955,8510,TOWER_BUILDING
1002128,CHAMPION_KILL,8,Red,9302,5976,3_KILL
1087932,BUILDING_KILL,2,Blue,4318,13875,TOWER_BUILDING
1204829,CHAMPION_KILL,7,Red,8349,5408,3_KILL
1205270,CHAMPION_KILL,6,Red,8872,5458,2_KILL
1205469,CHAMPION_KILL,4,Blue,8560,5534,8_KILL
1210461,CHAMPION_KILL,4,Blue,8091,5843,7_KILL
1210461,CHAMPION_SPECIAL_KILL,4,Blue,7967,5200,KILL_MULTI
1211584,CHAMPION_KILL,1,Blue,9571,5894,10_KILL
1213598,CHAMPION_KILL,4,Blue,8045,6254,9_KILL
1213598,CHAMPION_SPECIAL_KILL,4,Blue,7964,5904,KILL_MULTI
1215976,CHAMPION_KILL,4,Blue,8010,5590,6_KILL
1215976,CHAMPION_SPECIAL_KILL,4,Blue,7965,5908,KILL_MULTI
1215976,CHAMPION_SPECIAL_KILL,4,Blue,7965,5908,KILL_ACE
1241244,BUILDING_KILL,5,Blue,9767,10113,TOWER_BUILDING
1268919,ELITE_MONSTER_KILL,4,Blue,9866,4414,DRAGON
1312443,CHAMPION_KILL,9,Red,4663,9031,2_KILL
1313535,CHAMPION_KILL,4,Blue,4737,8886,8_KILL
1315979,CHAMPION_KILL,2,Blue,3589,8772,9_KILL
1318794,ELITE_MONSTER_KILL,4,Blue,5007,10471,BARON_NASHOR
1319653,CHAMPION_KILL,4,Blue,5102,10303,6_KILL
1319653,CHAMPION_SPECIAL_KILL,4,Blue,4898,10698,KILL_MULTI
1322320,CHAMPION_KILL,4,Blue,4766,10604,7_KILL
1322320,CHAMPION_SPECIAL_KILL,4,Blue,5224,10449,KILL_MULTI
1325824,CHAMPION_KILL,10,Red,6679,9947,5_KILL
1330052,CHAMPION_KILL,10,Red,6203,9576,3_KILL
1330052,CHAMPION_SPECIAL_KILL,10,Red,6878,9743,KILL_MULTI
1341616,CHAMPION_KILL,1,Blue,7174,7623,10_KILL
1341616,CHAMPION_SPECIAL_KILL,1,Blue,7306,7689,KILL_ACE
1360440,BUILDING_KILL,4,Blue,7943,13411,TOWER_BUILDING
1395070,BUILDING_KILL,3,Blue,13866,4505,TOWER_BUILDING
1402803,CHAMPION_KILL,4,Blue,2867,12695,6_KILL
1403265,CHAMPION_KILL,7,Red,2546,12964,4_KILL
1404740,CHAMPION_KILL,2,Blue,3547,13281,9_KILL
1422513,CHAMPION_KILL,7,Red,3158,13764,2_KILL
1423074,CHAMPION_KILL,2,Blue,3102,13806,7_KILL
1423338,BUILDING_KILL,3,Blue,13327,8226,TOWER_BUILDING
1428494,CHAMPION_KILL,8,Red,3992,13558,5_KILL
1429451,CHAMPION_KILL,1,Blue,3885,13225,10_KILL
1431399,CHAMPION_KILL,1,Blue,5373,13434,8_KILL
1431399,CHAMPION_SPECIAL_KILL,1,Blue,5188,13394,KILL_MULTI
