timestamp,type,killerId,killerTeam,x,y,killType
89927,CHAMPION_KILL,1,Blue,6768,11555,6_KILL
89927,CHAMPION_SPECIAL_KILL,1,Blue,7043,11490,KILL_FIRST_BLOOD
170748,CHAMPION_KILL,4,Blue,13409,2459,10_KILL
178613,CHAMPION_KILL,7,Red,13511,3280,5_KILL
181376,CHAMPION_KILL,2,Blue,13424,1481,9_KILL
182105,CHAMPION_KILL,7,Red,13261,3349,4_KILL
182105,CHAMPION_SPECIAL_KILL,7,Red,12900,3399,KILL_MULTI
191225,CHAMPION_KILL,3,Blue,8408,8430,8_KILL
300214,CHAMPION_KILL,2,Blue,4726,13231,6_KILL
301767,CHAMPION_KILL,7,Red,5396,12803,1_KILL
303089,CHAMPION_KILL,7,Red,4950,13171,2_KILL
303089,CHAMPION_SPECIAL_KILL,7,Red,5320,13057,KILL_MULTI
409069,CHAMPION_KILL,7,Red,6825,6893,3_KILL
417696,TURRET_PLATE_DESTROYED,0,Blue,4318,13875,TURRET_PLATE
427849,CHAMPION_KILL,2,Blue,8204,5289,7_KILL
485886,CHAMPION_KILL,5,Blue,12213,7159,7_KILL
518972,ELITE_MONSTER_KILL,2,Blue,9866,4414,DRAGON
564947,CHAMPION_KILL,4,Blue,12346,2844,10_KILL
574499,CHAMPION_KILL,2,Blue,5417,13115,7_KILL
583921,TURRET_PLATE_DESTROYED,0,Red,5846,6396,TURRET_PLATE
604115,ELITE_MONSTER_KILL,2,Blue,4260,9999,RIFTHERALD
658745,TURRET_PLATE_DESTROYED,0,Blue,13866,4505,TURRET_PLATE
671467,CHAMPION_KILL,5,Blue,11750,3776,10_KILL
682475,TURRET_PLATE_DESTROYED,0,Blue,4318,13875,TURRET_PLATE
690538,CHAMPION_KILL,1,Blue,4468,13854,6_KILL
714068,CHAMPION_KILL,8,Red,6435,6565,3_KILL
714993,CHAMPION_KILL,9,Red,12779,2787,4_KILL
716546,TURRET_PLATE_DESTROYED,0,Blue,4318,13875,TURRET_PLATE
729598,TURRET_PLATE_DESTROYED,0,Blue,4318,13875,TURRET_PLATE
734095,TURRET_PLATE_DESTROYED,0,Red,10504,1029,TURRET_PLATE
739713,TURRET_PLATE_DESTROYED,0,Red,10504,1029,TURRET_PLATE
742688,TURRET_PLATE_DESTROYED,0,Blue,4318,13875,TURRET_PLATE
742688,BUILDING_KILL,1,Blue,4318,13875,TOWER_BUILDING
794549,CHAMPION_KILL,9,Red,12826,3022,4_KILL
795903,TURRET_PLATE_DESTROYED,0,Blue,8955,8510,TURRET_PLATE
795903,TURRET_PLATE_DESTROYED,0,Blue,8955,8510,TURRET_PLATE
795903,TURRET_PLATE_DESTROYED,0,Blue,8955,8510,TURRET_PLATE
800998,CHAMPION_KILL,2,Blue,9150,8678,8_KILL
804897,CHAMPION_KILL,7,Red,7603,8104,2_KILL
807739,CHAMPION_KILL,1,Blue,8954,8190,7_KILL
